지역,구분,학교,학교 외 집단급식,음식점,가정집,기타,불명,합계
서울,발생건수,1,1,10,0,1,0,13
서울,환자수,52,49,109,0,4,0,214
부산,발생건수,3,1,11,0,2,0,17
부산,환자수,135,35,38,0,40,0,248
대구,발생건수,0,3,5,1,0,0,9
대구,환자수,0,48,19,7,0,0,74
인천,발생건수,0,1,3,0,0,0,4
인천,환자수,0,104,24,0,0,0,128
광주,발생건수,1,3,1,0,0,0,5
광주,환자수,15,45,10,0,0,0,70
대전,발생건수,0,1,1,0,1,0,3
대전,환자수,0,44,6,0,2,0,52
울산,발생건수,1,0,2,1,0,0,4
울산,환자수,16,0,12,4,0,0,32
세종,발생건수,0,0,0,0,1,0,1
세종,환자수,0,0,0,0,6,0,6
경기,발생건수,2,9,22,1,6,0,40
경기,환자수,49,444,172,2,76,0,743
강원,발생건수,0,0,6,0,0,0,6
강원,환자수,0,0,60,0,0,0,60
충북,발생건수,0,3,6,0,2,0,11
충북,환자수,0,84,38,0,45,0,167
충남,발생건수,0,1,1,0,0,0,2
충남,환자수,0,94,19,0,0,0,113
전북,발생건수,1,0,8,0,1,0,10
전북,환자수,13,0,43,0,7,0,63
전남,발생건수,2,0,8,0,0,0,10
전남,환자수,52,0,42,0,0,0,94
경북,발생건수,2,0,10,0,1,0,13
경북,환자수,69,0,50,0,100,0,219
경남,발생건수,0,2,7,0,0,0,9
경남,환자수,0,96,33,0,0,0,129
제주,발생건수,0,0,7,0,0,0,7
제주,환자수,0,0,122,0,0,0,122
합계,발생건수,13,25,108,3,15,0,164
합계,환자수,401,1043,797,13,280,0,2534
