지역,인구수(명)
서울,"9,428,372"
부산,"3,317,812"
대구,"2,363,691"
인천,"2,967,314"
광주,"1,431,050"
대전,"1,446,072"
울산,"1,110,663"
세종,"383,591"
경기,"13,589,432"
강원,"1,536,498"
충북,"1,595,058"
충남,"2,123,037"
전북,"1,769,607"
전남,"1,817,697"
경북,"2,600,492"
경상,"3,280,493"
제주,"678,159"
